UNIVERSITY NAME,NAME OF MASTER PROGRAM,COUNTRY,CITY,LANG.,SEMESTER,Tuition fee(€)/SEMESTER,APPLY,START,REQUIREMENT,WEBSITE
Wroclaw University of Science and Technology,Big Data Analytics,Poland,Wroclaw,English,3,2000,01/11/21,01/02/22,IELTS 6.5 TOEFL 87,http://pwr.edu.pl/en/
University of Warsaw,Data Science and Business Analytics,Poland,Warsaw,English,4,1100,01/07/22,01/10/22,IELTS 5.5 TOEFL 72,https://en.uw.edu.pl/
Warsaw School of Economics (SGH),Advanced Analytics - Big Data,Poland,Warsaw,English,4,1900,01/04/22,01/09/22,IELTS 6 TOEFL 87,https://ssl-www.sgh.waw.pl/en/Pages/default.aspx
Vistula University,Computer Engineering,Poland,Warsaw,English,4,875,01/08/21,01/10/21,IELTS 5.5 TOEFL 87,https://www.vistula.edu.pl/
University of Lodz,Computer Science,Poland,Lodz,English,4,1250,01/08/21,01/10/21,IELTS 6 TOEFL 87,https://iso.uni.lodz.pl/tr/
,,,,,,,,,,
,,,,,,,,,,
Norwegian University of Life Sciences (NMBU),Data Science,Norway,Ås,English,4,,01/12/21,01/10/22,IELTS 7 TOEFL 92,
University of Bergen,Machine Learning   ,Norway,Bergen,English,4,,,,IELTS 6.5 TOEFL 90,
University of Oslo,Data Science,Norway,Oslo,English,4,,01/12/21,01/08/22,IELTS 6.5 TOEFL 90,
University of South-Eastern Norway,Management Information Systems,Norway,Kongsberg,English,4,,01/12/21,01/08/22,IELTS 6 TOEFL 80,
UIT the Arctic University of Norway,Statistics,Norway,Tromsø,English,4,,01/12/21,01/08/22,IELTS 6.5 TOEFL 85,
University of Bergen,Visualization,Norway,Bergen,English,4,,,,IELTS 6.5 TOEFL 90,
,,,,,,,,,,
,,,,,,,,,,
Universidade Nova de Lisboa,Data Science and Advanced Analytics - Business Analytics,Portugal,Lisbon,English,4,1550,01/05/22,01/09/22,ENG-B2,
Universidade Nova de Lisboa,Data Science and Advanced Analytics - Data Science,Portugal,Lisbon,English,4,1550,01/05/22,01/09/22,ENG-B2,
Universidade Nova de Lisboa,Statistics and Information Management - Risk Analysis and Management,Portugal,Lisbon,English,3,2000,01/05/22,01/09/22,ENG-B2,
NOVA IMS,Data-Driven Marketing - Data Science for Marketing,Portugal,Lisbon,English,4,1500,01/05/22,01/09/22,ENG-B2,https://www.novaims.unl.pt/mddm-ds4m
NOVA IMS,Data Science and Advanced Analytics - specialization in Data Science,Portugal,Lisbon,English,4,1550,01/05/22,01/09/22,ENG-B2,https://www.novaims.unl.pt/mdsaa-ds
,,,,,,,,,,
,,,,,,,,,,
